scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr1,1600001,1650000,1636028,104,87,0.3242,0.7242,-0.3816,-0.0833,-0.0483
chr1,1650001,1700000,1681530,34,23,0.16,0.16,0.0,0.0,0.0
chr1,1700001,1750000,1709510,18,10,0.0,0.0,nan,0.0,0.0
chr1,1750001,1800000,1770217,21,17,0.7917,0.2,0.5966,0.2836,0.2522
chr1,1800001,1850000,1822747,60,40,0.35,0.825,-0.4043,-0.1655,-0.119
chr1,1850001,1900000,1875862,94,82,0.2792,0.6208,-0.3796,-0.0678,-0.0482
chr1,1900001,1950000,1927581,158,103,0.8817,1.14,-0.1278,-0.0438,-0.0268
chr1,1950001,2000000,1972956,318,308,3.6817,9.4733,-0.4403,-0.201,-0.1034
chr1,2000001,2050000,2028767,650,577,6.7342,19.0508,-0.4777,-0.1873,-0.1048
chr1,2050001,2100000,2070811,310,276,4.175,6.725,-0.2339,-0.0894,-0.0445
chr1,2100001,2150000,2127913,482,442,12.2317,3.7983,0.5261,0.1897,0.1159
chr1,2150001,2200000,2174557,324,300,5.3583,4.0583,0.1381,0.0324,0.0238
chr1,2200001,2250000,2220131,370,323,2.7,7.4,-0.4653,-0.1254,-0.0844
chr1,2250001,2300000,2272518,421,387,5.9008,10.6092,-0.2852,-0.1425,-0.0817
chr1,2300001,2350000,2317715,275,262,4.35,3.8667,0.0588,0.0205,0.0134
chr1,2350001,2400000,2377454,193,177,2.5617,0.945,0.461,0.1059,0.0821
chr1,2400001,2450000,2424520,251,220,1.9133,2.3967,-0.1121,-0.036,-0.0192
chr1,2450001,2500000,2471775,331,306,4.1733,4.5233,-0.0402,-0.0141,-0.0077
chr1,2500001,2550000,2532689,330,281,4.1717,4.6633,-0.0556,-0.0199,-0.0116
chr1,2550001,2600000,2576548,359,332,8.6383,5.9133,0.1873,0.0845,0.0548
chr1,2600001,2650000,2625431,215,200,3.7058,4.3975,-0.0854,-0.0306,-0.0179
chr1,2650001,2700000,2676171,316,293,2.8492,3.8158,-0.145,-0.0343,-0.0217
chr1,2700001,2750000,2728663,412,377,6.4525,5.9858,0.0375,0.0151,0.0095
chr1,2750001,2800000,2776297,167,148,1.6592,2.0008,-0.0934,-0.0346,-0.0201
chr1,2800001,2850000,2826497,368,334,4.9983,4.0733,0.102,0.031,0.0192
chr1,2850001,2900000,2875169,649,598,4.98,11.93,-0.411,-0.1527,-0.0926
chr1,2900001,2950000,2926399,476,408,4.4333,4.9417,-0.0542,-0.0136,-0.0082
chr1,2950001,3000000,2974264,487,444,5.8458,5.2792,0.0509,0.0131,0.0082
chr1,3000001,3050000,3025267,271,257,6.3633,4.0467,0.2225,0.0795,0.0446
chr1,3050001,3100000,3067939,165,154,3.8375,4.1958,-0.0446,-0.0245,-0.0159
chr1,3100001,3150000,3131956,226,197,3.8967,2.7633,0.1702,0.0619,0.0341
chr1,3150001,3200000,3167853,430,404,6.8583,6.3167,0.0411,0.0128,0.0082
chr1,3200001,3250000,3208345,171,146,1.0958,2.2292,-0.3409,-0.1004,-0.0625
chr1,3250001,3300000,3270093,58,43,1.0167,0.7583,0.1455,0.1766,0.0617
chr1,3300001,3350000,3319149,24,14,0.0,0.0,nan,0.0,0.0
chr1,3350001,3400000,nan,0,nan,nan,nan,nan,nan,nan
chr1,3400001,3450000,3427509,134,119,1.8775,1.3025,0.1808,0.0693,0.0499
chr1,3450001,3500000,3486489,113,95,1.1533,1.1533,-0.0,-0.0,-0.0
chr1,3500001,3550000,3512632,231,217,1.0,0.9583,0.0213,0.0011,0.0008
chr1,3550001,3600000,3586758,168,150,2.5,0.9333,0.4563,0.0741,0.0482
chr1,3600001,3650000,3621790,306,297,28.4917,4.5667,0.7237,0.3735,0.2308
chr1,3650001,3700000,nan,0,nan,nan,nan,nan,nan,nan
chr1,3700001,3750000,nan,0,nan,nan,nan,nan,nan,nan
chr1,3750001,3800000,3788085,13,13,0.0,0.0,nan,0.0,0.0
chr1,3800001,3850000,nan,0,nan,nan,nan,nan,nan,nan
chr1,3850001,3900000,nan,0,nan,nan,nan,nan,nan,nan
chr1,3900001,3950000,3930995,8,nan,nan,nan,nan,nan,nan
chr1,3950001,4000000,nan,0,nan,nan,nan,nan,nan,nan
chr1,4000001,4050000,4022623,27,22,0.3,0.1583,0.3091,0.1213,0.0786
chr1,4050001,4100000,4071641,21,18,0.7333,0.0333,0.913,0.4208,0.3535
chr1,4100001,4150000,4129328,132,127,0.1458,0.6792,-0.6465,-0.0214,-0.0157
chr1,4150001,4200000,4183543,83,73,0.0467,0.8467,-0.8955,-0.0629,-0.0533
chr1,4200001,4250000,4227013,290,273,0.1167,0.0,1.0,0.0023,0.0018
chr1,4250001,4300000,4277375,432,409,0.205,4.3383,-0.9098,-0.0612,-0.0426
chr1,4300001,4350000,4321721,328,307,3.135,3.2767,-0.0221,-0.0044,-0.0026
chr1,4350001,4400000,4368329,597,538,9.1008,13.3008,-0.1875,-0.0751,-0.0362
chr1,4400001,4450000,4415307,243,226,0.6883,2.6717,-0.5903,-0.1265,-0.0744
chr1,4450001,4500000,4480896,34,20,1.875,0.2167,0.7928,0.2934,0.2671
chr1,4500001,4550000,4524588,27,25,2.1667,1.1417,0.3098,0.2778,0.1737
chr1,4550001,4600000,4583994,689,645,7.4983,9.3567,-0.1103,-0.0316,-0.022
chr1,4600001,4650000,4615153,371,338,10.6642,5.2725,0.3383,0.1149,0.0904
chr1,4650001,4700000,4672733,129,122,1.5333,2.4333,-0.2269,-0.0505,-0.0373
chr1,4700001,4750000,4723702,407,385,4.1,7.9083,-0.3171,-0.0852,-0.0596
chr1,4750001,4800000,4778669,465,437,15.055,7.5717,0.3307,0.1013,0.0672
chr1,4800001,4850000,4824464,385,362,7.1767,7.4267,-0.0171,-0.0085,-0.0041
chr1,4850001,4900000,4878416,501,483,4.4825,10.6158,-0.4062,-0.1536,-0.0786
chr1,4900001,4950000,4917241,639,571,8.3083,11.8583,-0.176,-0.0695,-0.0444
chr1,4950001,5000000,4974319,358,340,8.7267,7.4183,0.081,0.0322,0.0191
chr1,5000001,5050000,5027688,489,461,4.3567,4.6483,-0.0324,-0.007,-0.0046
chr1,5050001,5100000,5077541,456,440,7.9967,9.205,-0.0702,-0.0294,-0.0178
chr1,5100001,5150000,5120620,376,343,2.97,8.395,-0.4773,-0.219,-0.1204
chr1,5150001,5200000,5178604,428,376,5.9975,3.6308,0.2458,0.0792,0.0477
chr1,5200001,5250000,5226548,711,609,10.4433,11.7267,-0.0579,-0.0236,-0.0138
chr1,5250001,5300000,5273711,423,378,7.8092,11.8342,-0.2049,-0.1075,-0.0629
chr1,5300001,5350000,5324419,653,612,19.2167,17.3833,0.0501,0.0313,0.0171
chr1,5350001,5400000,5373990,520,492,4.8708,9.1708,-0.3062,-0.1233,-0.0737
chr1,5400001,5450000,5427094,489,439,4.695,8.395,-0.2827,-0.0946,-0.0572
chr1,5450001,5500000,5471761,603,538,2.4083,13.7833,-0.7025,-0.246,-0.1457
chr1,5500001,5550000,5525731,515,480,5.7242,14.2658,-0.4273,-0.2046,-0.1137
chr1,5550001,5600000,5591073,118,89,0.0367,0.5033,-0.8642,-0.0468,-0.031
chr1,5600001,5650000,5622850,332,301,7.1358,2.9692,0.4123,0.1505,0.1016
chr1,5650001,5700000,5674705,601,554,6.9625,7.8458,-0.0597,-0.0189,-0.0118
chr1,5700001,5750000,5725124,619,575,9.6267,4.4017,0.3725,0.1224,0.085
chr1,5750001,5800000,5775097,391,364,6.56,4.2767,0.2107,0.0869,0.0515
chr1,5800001,5850000,5827417,512,478,8.6417,5.7667,0.1995,0.0664,0.0443
chr1,5850001,5900000,5876711,549,514,9.2175,8.3008,0.0523,0.0219,0.0131
chr1,5900001,5950000,5923881,344,324,5.5742,4.7408,0.0808,0.0425,0.0252
chr1,5950001,6000000,5971258,406,379,7.3017,7.0267,0.0192,0.008,0.0041
chr1,6000001,6050000,6027352,491,445,7.875,6.4417,0.1001,0.0439,0.0235
chr1,6050001,6100000,6066328,257,234,1.695,6.4533,-0.584,-0.2718,-0.1284
chr1,6100001,6150000,6126346,493,444,6.8433,11.4433,-0.2515,-0.0878,-0.0556
chr1,6150001,6200000,6175612,608,536,8.59,8.5483,0.0024,0.001,0.0005
chr1,6200001,6250000,6224264,510,474,9.2542,7.0792,0.1332,0.0607,0.0347
chr1,6250001,6300000,6277160,398,386,7.9625,3.9375,0.3382,0.122,0.0826
chr1,6300001,6350000,6323551,510,465,9.7567,7.39,0.138,0.0713,0.0382
chr1,6350001,6400000,6373466,294,268,4.1417,3.5833,0.0723,0.0226,0.0121
chr1,6400001,6450000,6423404,422,394,4.9883,10.4383,-0.3533,-0.1479,-0.0921
chr1,6450001,6500000,6474237,312,296,3.81,4.9767,-0.1328,-0.0436,-0.0237
chr1,6500001,6550000,6523790,334,315,4.5442,2.7692,0.2427,0.0626,0.0357
chr1,6550001,6600000,6576838,508,451,12.06,7.8517,0.2114,0.0826,0.0575
chr1,6600001,6650000,6625140,628,593,7.1933,14.6933,-0.3427,-0.236,-0.1032
chr1,6650001,6700000,6674551,465,434,7.31,4.1683,0.2737,0.0857,0.0586
chr1,6700001,6750000,6724944,475,454,7.335,8.4017,-0.0678,-0.0251,-0.0147
chr1,6750001,6800000,6773549,522,506,12.2533,6.945,0.2765,0.1053,0.0712
chr1,6800001,6850000,6827516,509,473,7.5617,8.9533,-0.0843,-0.0353,-0.0211
chr1,6850001,6900000,6873082,646,590,16.1975,11.8142,0.1565,0.0745,0.0444
chr1,6900001,6950000,6929820,396,341,4.7025,8.6192,-0.294,-0.1422,-0.0738
chr1,6950001,7000000,6972440,589,571,17.1783,8.0367,0.3625,0.1646,0.0987
chr1,7000001,7050000,7025208,574,546,8.1317,10.3233,-0.1188,-0.0577,-0.0296
chr1,7050001,7100000,7075438,442,415,6.2383,13.4717,-0.367,-0.2105,-0.1156
chr1,7100001,7150000,7121187,415,386,4.2708,7.0542,-0.2458,-0.0845,-0.0504
chr1,7150001,7200000,7170673,319,285,2.175,6.6333,-0.5061,-0.1853,-0.114
chr1,7200001,7250000,7224599,446,419,7.3767,4.7933,0.2123,0.065,0.0416
chr1,7250001,7300000,7274263,308,285,4.9683,6.6017,-0.1412,-0.0544,-0.0315
chr1,7300001,7350000,7341301,103,93,2.9,1.0417,0.4715,0.1594,0.116
chr1,7350001,7400000,7372787,699,611,11.0125,10.1458,0.041,0.0147,0.0082
chr1,7400001,7450000,7430987,605,554,6.3408,15.4325,-0.4176,-0.2312,-0.1177
chr1,7450001,7500000,7475234,604,548,10.3725,7.3475,0.1707,0.081,0.0444
chr1,7500001,7550000,7520831,501,442,5.9,5.85,0.0043,0.0013,0.0008
chr1,7550001,7600000,7568609,710,646,8.83,14.9967,-0.2588,-0.1125,-0.058
chr1,7600001,7650000,7625554,338,311,6.2483,8.1733,-0.1335,-0.0438,-0.0283
chr1,7650001,7700000,7673498,596,529,8.145,11.445,-0.1685,-0.0779,-0.0387
chr1,7700001,7750000,7722693,391,355,2.71,6.685,-0.4231,-0.1474,-0.0767
chr1,7750001,7800000,7770373,508,449,6.1383,8.8383,-0.1803,-0.0514,-0.0334
chr1,7800001,7850000,7820984,570,519,14.07,8.1533,0.2662,0.1183,0.068
chr1,7850001,7900000,7874350,437,419,6.0333,5.8417,0.0161,0.0048,0.0034
chr1,7900001,7950000,7922870,394,356,6.715,4.615,0.1853,0.0611,0.0432
chr1,7950001,8000000,7969521,331,309,4.1775,5.0358,-0.0932,-0.0409,-0.0249
chr1,8000001,8050000,8028323,533,500,3.9617,7.6617,-0.3183,-0.1017,-0.0603
chr1,8050001,8100000,8075104,607,538,7.0517,8.6767,-0.1033,-0.0377,-0.0216
chr1,8100001,8150000,8123272,457,427,8.6983,8.1483,0.0326,0.0136,0.0078
chr1,8150001,8200000,8177274,413,391,7.7217,10.3633,-0.1461,-0.0512,-0.0324
chr1,8200001,8250000,8229214,355,335,5.78,7.73,-0.1443,-0.0554,-0.0364
chr1,8250001,8300000,8275110,451,416,6.9833,10.5333,-0.2027,-0.1238,-0.0629
chr1,8300001,8350000,8325132,513,491,10.8258,9.6925,0.0552,0.0217,0.0138
chr1,8350001,8400000,8374746,441,403,8.4033,20.6033,-0.4206,-0.2647,-0.1456
chr1,8400001,8450000,8421980,504,457,4.9933,8.335,-0.2507,-0.0773,-0.0459
chr1,8450001,8500000,8477340,475,433,7.8292,4.9792,0.2225,0.0774,0.0481
chr1,8500001,8550000,8528023,496,443,7.8142,5.8475,0.144,0.0522,0.0332
chr1,8550001,8600000,8571754,438,406,5.3092,6.6508,-0.1122,-0.0363,-0.0216
chr1,8600001,8650000,8623896,493,455,4.6525,8.7942,-0.308,-0.1069,-0.0569
chr1,8650001,8700000,8678188,444,415,9.805,7.5717,0.1285,0.0687,0.0371
chr1,8700001,8750000,8723494,434,394,5.6683,5.11,0.0518,0.0164,0.0098
chr1,8750001,8800000,8774770,578,530,7.4958,8.7042,-0.0746,-0.0336,-0.0176
chr1,8800001,8850000,8824076,362,328,2.0983,4.8067,-0.3922,-0.1007,-0.0608
chr1,8850001,8900000,8874805,342,324,4.2325,5.0158,-0.0847,-0.0294,-0.0207
chr1,8900001,8950000,8924823,611,555,13.4,10.2417,0.1336,0.0664,0.0375
chr1,8950001,9000000,8979432,494,443,12.2575,10.3908,0.0824,0.0405,0.0264
chr1,9000001,9050000,9022885,612,540,12.5067,9.1067,0.1573,0.0612,0.0377
chr1,9050001,9100000,9077371,522,502,4.9183,6.2933,-0.1226,-0.0345,-0.0202
chr1,9100001,9150000,9121280,411,386,8.74,7.74,0.0607,0.0324,0.0179
chr1,9150001,9200000,9178470,704,628,10.9767,9.3017,0.0826,0.0392,0.0226
chr1,9200001,9250000,9217371,440,430,5.1625,8.0292,-0.2173,-0.081,-0.0491
chr1,9250001,9300000,9278563,563,513,6.3308,7.4058,-0.0783,-0.0223,-0.0147
chr1,9300001,9350000,9329463,466,423,6.9717,7.3633,-0.0273,-0.0107,-0.0064
chr1,9350001,9400000,9375897,523,491,16.3192,9.1608,0.2809,0.1633,0.1015
chr1,9400001,9450000,9426813,538,507,7.9358,2.8775,0.4678,0.1424,0.1026
chr1,9450001,9500000,9478875,516,491,7.3258,5.9008,0.1077,0.048,0.0292
chr1,9500001,9550000,9517101,336,316,7.4142,4.5308,0.2414,0.1023,0.0673
chr1,9550001,9600000,9579442,574,534,11.4125,7.8625,0.1842,0.0695,0.0454
chr1,9600001,9650000,9628114,392,378,4.005,9.33,-0.3993,-0.1911,-0.1039
chr1,9650001,9700000,9676065,435,428,4.06,6.6183,-0.2396,-0.067,-0.0475
chr1,9700001,9750000,9723533,516,496,7.5917,9.35,-0.1038,-0.0425,-0.0248
chr1,9750001,9800000,9777502,579,548,6.5583,8.1,-0.1052,-0.0286,-0.0204
chr1,9800001,9850000,9823018,536,508,4.6983,7.19,-0.2096,-0.0442,-0.031
chr1,9850001,9900000,9874470,593,523,1.75,5.4333,-0.5128,-0.0871,-0.0536
chr1,9900001,9950000,9925427,530,488,4.7833,7.95,-0.2487,-0.0824,-0.0522
chr1,9950001,10000000,9974286,573,546,7.0225,7.8142,-0.0534,-0.0186,-0.0119
chr1,10000001,10050000,10024795,423,406,5.3892,7.3142,-0.1515,-0.0518,-0.0366
chr1,10050001,10100000,10075200,339,303,5.7,4.4917,0.1186,0.0463,0.0255
chr1,10100001,10150000,10128310,531,451,4.4283,7.9617,-0.2852,-0.0627,-0.0388
chr1,10150001,10200000,10173806,305,288,0.685,1.885,-0.4669,-0.0472,-0.0273
chr1,10200001,10250000,10225306,430,405,3.5,8.675,-0.4251,-0.1384,-0.0752
chr1,10250001,10300000,10277312,397,385,4.6758,5.1675,-0.0499,-0.014,-0.0099
chr1,10300001,10350000,10327089,553,531,19.7942,7.1275,0.4705,0.1727,0.1103
chr1,10350001,10400000,10372173,449,418,2.69,8.2567,-0.5085,-0.1068,-0.0655
chr1,10400001,10450000,10423794,404,383,12.5917,5.325,0.4056,0.1203,0.0877
chr1,10450001,10500000,10478816,486,466,4.4808,6.5975,-0.1911,-0.0497,-0.0304
chr1,10500001,10550000,10521502,553,501,4.5533,5.22,-0.0682,-0.0138,-0.0075
chr1,10550001,10600000,10574300,446,414,4.0167,5.6167,-0.1661,-0.0381,-0.0242
chr1,10600001,10650000,10621653,457,419,6.6617,8.0033,-0.0915,-0.0359,-0.0202
chr1,10650001,10700000,10674447,496,450,7.0708,6.2875,0.0586,0.0174,0.0108
chr1,10700001,10750000,10723985,414,354,4.6367,2.82,0.2436,0.0807,0.0447
chr1,10750001,10800000,10772674,613,574,7.8658,20.1242,-0.438,-0.208,-0.1159
chr1,10800001,10850000,10823866,511,452,7.4542,6.7792,0.0474,0.0142,0.01
chr1,10850001,10900000,10874981,661,572,10.0367,4.495,0.3814,0.1081,0.0698
chr1,10900001,10950000,10928030,237,213,7.7567,2.2233,0.5544,0.3304,0.2073
chr1,10950001,11000000,10975022,507,484,4.9275,7.2692,-0.192,-0.0506,-0.0302
chr1,11000001,11050000,11025080,460,426,7.22,4.745,0.2069,0.0564,0.0353
chr1,11050001,11100000,11072778,497,478,5.2875,7.8708,-0.1963,-0.0602,-0.0345
chr1,11100001,11150000,11125558,535,496,11.0483,8.665,0.1209,0.0471,0.0307
chr1,11150001,11200000,11177211,490,476,5.6083,11.5333,-0.3456,-0.1205,-0.0799
chr1,11200001,11250000,11224266,565,507,9.2908,5.8825,0.2246,0.0644,0.0423
chr1,11250001,11300000,11270113,454,425,4.9042,9.6292,-0.3251,-0.1366,-0.0868
chr1,11300001,11350000,11327876,577,570,9.5683,6.8933,0.1625,0.0659,0.042
chr1,11350001,11400000,11373979,671,641,7.0925,6.0258,0.0813,0.0191,0.0117
chr1,11400001,11450000,11424260,479,425,7.5967,5.0883,0.1977,0.055,0.0335
chr1,11450001,11500000,11475829,557,522,14.3992,11.9325,0.0937,0.0463,0.0323
chr1,11500001,11550000,11521644,545,501,9.7967,10.1217,-0.0163,-0.0053,-0.0034
chr1,11550001,11600000,11576273,512,460,8.8667,8.7333,0.0076,0.0023,0.0014
chr1,11600001,11650000,11628621,480,440,8.8575,9.9492,-0.058,-0.0261,-0.0137
chr1,11650001,11700000,11672951,633,564,3.1908,9.1658,-0.4835,-0.1131,-0.073
chr1,11700001,11750000,11733302,380,348,6.2483,1.1733,0.6838,0.1315,0.0861
chr1,11750001,11800000,11777731,465,461,5.2208,7.6958,-0.1916,-0.0798,-0.0448
chr1,11800001,11850000,11825228,416,378,5.9208,3.0708,0.317,0.1052,0.0673
chr1,11850001,11900000,11880718,589,519,3.62,5.145,-0.174,-0.0327,-0.0209
chr1,11900001,11950000,11927135,382,350,4.6317,3.1233,0.1945,0.059,0.0313
chr1,11950001,12000000,11976388,435,384,5.3167,3.2833,0.2364,0.0586,0.0373
chr1,12000001,12050000,12024108,534,496,7.3733,4.1067,0.2846,0.0735,0.0525
chr1,12050001,12100000,12074391,620,562,6.665,9.3067,-0.1654,-0.0624,-0.0408
chr1,12100001,12150000,12123190,652,602,16.2158,9.8075,0.2463,0.1033,0.0676
chr1,12150001,12200000,12170791,471,463,9.8908,7.5408,0.1348,0.0639,0.0394
chr1,12200001,12250000,12225329,532,503,3.8208,6.1792,-0.2358,-0.0662,-0.0446
chr1,12250001,12300000,12271877,514,486,3.2242,5.1908,-0.2337,-0.049,-0.0303
chr1,12300001,12350000,12322574,480,457,6.3133,7.0467,-0.0549,-0.0203,-0.0118
chr1,12350001,12400000,12377486,503,484,10.2433,6.6767,0.2108,0.0747,0.0466
chr1,12400001,12450000,12425114,469,439,7.4267,8.9933,-0.0954,-0.0378,-0.0201
chr1,12450001,12500000,12469687,452,413,2.4917,2.1667,0.0698,0.0073,0.0048
chr1,12500001,12550000,12523120,621,561,9.0725,9.8475,-0.041,-0.0159,-0.0085
chr1,12550001,12600000,12576774,458,425,3.2042,6.2958,-0.3254,-0.0631,-0.0405
chr1,12600001,12650000,12626974,619,581,8.4625,7.2542,0.0769,0.0223,0.0136
chr1,12650001,12700000,12672252,417,351,3.9917,8.4917,-0.3605,-0.1483,-0.0907
chr1,12700001,12750000,12724813,609,550,8.1783,10.52,-0.1252,-0.042,-0.0247
chr1,12750001,12800000,12773637,507,472,5.485,8.8767,-0.2362,-0.0742,-0.0397
chr1,12800001,12850000,12821697,528,498,7.3633,9.9383,-0.1488,-0.0537,-0.0311
chr1,12850001,12900000,12877521,547,525,6.0167,6.6083,-0.0469,-0.0109,-0.0072
chr1,12900001,12950000,12926343,684,635,8.155,13.955,-0.2623,-0.1136,-0.0561
chr1,12950001,13000000,12969088,758,661,9.74,15.6983,-0.2342,-0.1322,-0.0587
chr1,13000001,13050000,13020376,482,448,4.3975,7.3308,-0.2501,-0.0927,-0.0528
chr1,13050001,13100000,13076912,484,451,7.0908,11.8325,-0.2506,-0.1157,-0.0637
chr1,13100001,13150000,13128790,329,306,4.0417,5.675,-0.1681,-0.0527,-0.0317
chr1,13150001,13200000,13171934,518,486,16.9067,6.4483,0.4478,0.2,0.108
chr1,13200001,13250000,13229516,677,618,9.8892,8.6308,0.0679,0.0221,0.014
chr1,13250001,13300000,13278471,429,404,3.78,8.9467,-0.406,-0.1598,-0.0938
chr1,13300001,13350000,13325407,624,564,9.2925,10.0175,-0.0375,-0.0171,-0.0089
chr1,13350001,13400000,13368195,467,421,9.1058,12.6475,-0.1628,-0.0947,-0.0444
chr1,13400001,13450000,13425187,350,333,5.5008,8.1342,-0.1931,-0.0957,-0.0529
chr1,13450001,13500000,13475693,570,555,12.2333,8.7833,0.1642,0.0829,0.0422
chr1,13500001,13550000,13522553,444,420,6.9167,3.5667,0.3196,0.1153,0.0621
chr1,13550001,13600000,13575814,564,533,9.9908,8.3242,0.091,0.0378,0.0185
chr1,13600001,13650000,13628707,427,395,8.6292,5.2042,0.2476,0.0596,0.0431
chr1,13650001,13700000,13679411,430,362,13.81,6.1683,0.3825,0.1708,0.1008
chr1,13700001,13750000,13715357,387,366,2.825,6.625,-0.4021,-0.0839,-0.0579
chr1,13750001,13800000,13782334,325,304,2.535,3.1683,-0.111,-0.0208,-0.0117
chr1,13800001,13850000,13827948,249,235,0.5267,3.4267,-0.7336,-0.1004,-0.0759
chr1,13850001,13900000,13876449,710,633,5.7783,5.095,0.0628,0.0078,0.0054
chr1,13900001,13950000,13926948,483,435,15.3742,5.2242,0.4928,0.2565,0.1281
chr1,13950001,14000000,13972182,458,427,3.5083,11.7917,-0.5414,-0.1322,-0.0873
chr1,14000001,14050000,14025622,681,643,6.6917,6.1583,0.0415,0.0068,0.0046
chr1,14050001,14100000,14076236,433,408,5.3408,7.3742,-0.1599,-0.0535,-0.0366
chr1,14100001,14150000,14124393,506,469,11.1892,5.1392,0.3705,0.1669,0.0969
chr1,14150001,14200000,14176445,527,490,15.2533,14.3783,0.0295,0.0149,0.0086
chr1,14200001,14250000,14222188,498,453,9.3708,5.1625,0.2896,0.0923,0.0691
chr1,14250001,14300000,14277426,431,415,2.295,2.77,-0.0938,-0.0141,-0.0078
chr1,14300001,14350000,14326118,442,414,5.6933,1.7933,0.5209,0.0918,0.0614
chr1,14350001,14400000,14379423,369,335,3.025,0.7667,0.5956,0.0729,0.0543
chr1,14400001,14450000,14431696,721,626,9.7692,8.2608,0.0837,0.0284,0.017
chr1,14450001,14500000,14476241,658,608,17.665,11.5733,0.2083,0.1172,0.0706
chr1,14500001,14550000,14525668,803,704,15.0658,12.1325,0.1078,0.033,0.0184
chr1,14550001,14600000,14575194,291,275,3.7225,1.5892,0.4016,0.0531,0.0315
chr1,14600001,14650000,14627364,401,382,5.875,5.5,0.033,0.0071,0.0051
chr1,14650001,14700000,14674446,525,490,5.9033,10.8867,-0.2968,-0.0937,-0.0615
chr1,14700001,14750000,14728057,658,612,8.66,18.1433,-0.3538,-0.1613,-0.0953
chr1,14750001,14800000,14773356,448,412,2.8583,6.05,-0.3583,-0.0737,-0.0459
chr1,14800001,14850000,14824200,420,393,4.8317,2.24,0.3665,0.0803,0.0465
chr1,14850001,14900000,14871170,338,289,0.29,3.89,-0.8612,-0.177,-0.1141
chr1,14900001,14950000,14920025,479,451,7.9667,3.0417,0.4474,0.1028,0.0755
chr1,14950001,15000000,14973117,448,429,3.9317,4.04,-0.0136,-0.0022,-0.0016
chr1,15000001,15050000,15022667,440,420,3.265,11.29,-0.5514,-0.2247,-0.132
chr1,15050001,15100000,15077225,388,388,8.0883,6.3633,0.1194,0.0446,0.0245
chr1,15100001,15150000,15123033,365,365,3.8342,5.3842,-0.1681,-0.0508,-0.0285
chr1,15150001,15200000,15172552,601,580,10.2575,3.2158,0.5226,0.1257,0.0778
chr1,15200001,15250000,15226784,445,433,8.3517,4.1767,0.3332,0.1234,0.0713
chr1,15250001,15300000,15279529,596,590,2.3725,9.4475,-0.5986,-0.2174,-0.1145
chr1,15300001,15350000,15325291,529,527,5.0292,9.4458,-0.3051,-0.1157,-0.0698
