classification,chromosome,region_start,region_end,transcript,gene_uniprot,gene_eggnog,description_uniprot,saccver,Tissue specificity
high_div,chr1,398000000,399200000,FUN_004610,BCL11A,BCL11A,B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856),Q9H165,"TISSUE SPECIFICITY: Expressed at high levels in brain, spleen thymus, bone marrow and testis. Expressed in CD34-positive myeloid precursor cells, B-cells, monocytes and megakaryocytes. Expression is tightly regulated during B-cell development. {ECO:0000269|PubMed:11161790, ECO:0000269|PubMed:11719382}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in fetal and adult brain, and in the plasmacytoid dendritic cell. {ECO:0000269|PubMed:16704730}."
high_div,chr1,398000000,399200000,FUN_004611,,,,,
high_div,chr1,398000000,399200000,FUN_004612,,,,,
high_div,chr1,398000000,399200000,FUN_004613,,,,,
high_div,chr1,398000000,399200000,FUN_004614,PAPOLG,PAPOLG,Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme),Q6PCL9,
high_div,chr1,398000000,399200000,FUN_004615,REL,REL,Proto-oncogene c-Rel (p68),P16236,
high_div,chr1,398000000,399200000,FUN_004616,PUS10,PUS10,tRNA pseudouridine synthase Pus10 (Hup10) (EC 5.4.99.25) (Coiled-coil domain-containing protein 139) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),Q3MIT2,
high_div,chr1,398000000,399200000,FUN_004617,PEX13,PEX13,Peroxisomal membrane protein PEX13 (Peroxin-13),Q92968,
high_div,chr1,398000000,399200000,FUN_004618,SANBR,KIAA1841,SANT and BTB domain regulator of class switch recombination (SANT and BTB domain regulator of CSR),Q6NSI8,
high_div,chr1,398000000,399200000,FUN_004619,,,,,
high_div,chr1,398000000,399200000,FUN_004620,USP34,USP34,Ubiquitin carboxyl-terminal hydrolase 34 (EC 3.4.19.12) (Deubiquitinating enzyme 34) (Ubiquitin thioesterase 34) (Ubiquitin-specific-processing protease 34),Q70CQ2,TISSUE SPECIFICITY: Expressed in brain at low level. {ECO:0000269|PubMed:14715245}.
high_div,chr1,398000000,399200000,FUN_004626,,,,,
high_div,chr1,398000000,399200000,FUN_004627,XPO1,XPO1,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),Q6P5F9,
high_div,chr1,398000000,399200000,FUN_004628,,,,,
high_div,chr1,398000000,399200000,FUN_004629,CTS-P2,,Crotasin,Q6HAA2,"TISSUE SPECIFICITY: Highly expressed in pancreas, heart, liver, brain and kidney. Expressed to a low extent in the venom gland. {ECO:0000269|PubMed:15284009}."
high_div,chr1,398000000,399200000,FUN_004630,NHLH2,NHLH2,Helix-loop-helix protein 2 (HEN-2) (Class A basic helix-loop-helix protein 34) (bHLHa34) (Nescient helix loop helix 2) (NSCL-2),Q02577,
high_div,chr1,398000000,399200000,FUN_004631,CTS-P2,,Crotasin,Q6HAA2,"TISSUE SPECIFICITY: Highly expressed in pancreas, heart, liver, brain and kidney. Expressed to a low extent in the venom gland. {ECO:0000269|PubMed:15284009}."
low_div,chr1,399200000,400100000,FUN_004632,,,,,
low_div,chr1,399200000,400100000,FUN_004633,,,,,
low_div,chr1,399200000,400100000,FUN_004634,,,,,
low_div,chr1,399200000,400100000,FUN_004635,,,,,
low_div,chr1,399200000,400100000,FUN_004632,,,,,
low_div,chr1,399200000,400100000,FUN_004633,,,,,
low_div,chr1,399200000,400100000,FUN_004634,,,,,
low_div,chr1,399200000,400100000,FUN_004635,,,,,
high_div,chr1,400200000,401000000,FUN_004637,GAL9,,Gallinacin-9 (Gal-9) (Beta-defensin 9) (Gallinacin-6) (Gal-6),Q6QLR1,"TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder, kidney, esophagus and crop. Also expressed in the glandular stomach, ovary and male and female reproductive tracts. Low expression in the intestinal tract. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17194828, ECO:0000269|PubMed:17244739}."
high_div,chr1,400200000,401000000,FUN_004638,GAL9,,Gallinacin-9 (Gal-9) (Beta-defensin 9) (Gallinacin-6) (Gal-6),Q6QLR1,"TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder, kidney, esophagus and crop. Also expressed in the glandular stomach, ovary and male and female reproductive tracts. Low expression in the intestinal tract. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17194828, ECO:0000269|PubMed:17244739}."
high_div,chr1,400200000,401000000,FUN_004640,,,,,
high_div,chr1,400200000,401000000,FUN_004641,,,,,
high_div,chr1,400200000,401000000,FUN_004642,,,,,
high_div,chr1,400200000,401000000,FUN_30329,,,,,
high_div,chr1,400200000,401000000,FUN_004643,CTSB,CTSB,Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],P43233,
high_div,chr1,400200000,401000000,FUN_004644,FDFT1,FDFT1,Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase),Q5R6U3,
high_div,chr1,400200000,401000000,FUN_004645,NEIL2,NEIL2,Endonuclease 8-like 2 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil2) (DNA-(apurinic or apyrimidinic site) lyase Neil2) (Endonuclease VIII-like 2) (Nei homolog 2) (NEH2) (Nei-like protein 2),Q969S2,"TISSUE SPECIFICITY: Detected in testis, skeletal muscle, heart, brain, placenta, lung, pancreas, kidney and liver. {ECO:0000269|PubMed:12097317}."
high_div,chr1,400200000,401000000,FUN_004646,GATA4,GATA4,Transcription factor GATA-4 (GATA-binding factor 4),P43691,"TISSUE SPECIFICITY: More abundant in heart, with lower levels detected in ovary and small intestine."
high_div,chr1,400200000,401000000,FUN_004647,,,,,
high_div,chr1,400200000,401000000,FUN_004637,GAL9,,Gallinacin-9 (Gal-9) (Beta-defensin 9) (Gallinacin-6) (Gal-6),Q6QLR1,"TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder, kidney, esophagus and crop. Also expressed in the glandular stomach, ovary and male and female reproductive tracts. Low expression in the intestinal tract. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17194828, ECO:0000269|PubMed:17244739}."
high_div,chr1,400200000,401000000,FUN_004638,GAL9,,Gallinacin-9 (Gal-9) (Beta-defensin 9) (Gallinacin-6) (Gal-6),Q6QLR1,"TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder, kidney, esophagus and crop. Also expressed in the glandular stomach, ovary and male and female reproductive tracts. Low expression in the intestinal tract. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17194828, ECO:0000269|PubMed:17244739}."
high_div,chr1,400200000,401000000,FUN_004640,,,,,
high_div,chr1,400200000,401000000,FUN_004641,,,,,
high_div,chr1,400200000,401000000,FUN_004642,,,,,
high_div,chr1,400200000,401000000,FUN_30329,,,,,
high_div,chr1,400200000,401000000,FUN_004643,CTSB,CTSB,Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],P43233,
high_div,chr1,400200000,401000000,FUN_004644,FDFT1,FDFT1,Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase),Q5R6U3,
high_div,chr1,400200000,401000000,FUN_004645,NEIL2,NEIL2,Endonuclease 8-like 2 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil2) (DNA-(apurinic or apyrimidinic site) lyase Neil2) (Endonuclease VIII-like 2) (Nei homolog 2) (NEH2) (Nei-like protein 2),Q969S2,"TISSUE SPECIFICITY: Detected in testis, skeletal muscle, heart, brain, placenta, lung, pancreas, kidney and liver. {ECO:0000269|PubMed:12097317}."
high_div,chr1,400200000,401000000,FUN_004646,GATA4,GATA4,Transcription factor GATA-4 (GATA-binding factor 4),P43691,"TISSUE SPECIFICITY: More abundant in heart, with lower levels detected in ovary and small intestine."
high_div,chr1,400200000,401000000,FUN_004647,,,,,
high_div,chr3,139900000,146900000,FUN_011714,BRINP3,BRINP3,BMP/retinoic acid-inducible neural-specific protein 3 (DBCCR1-like protein 1),Q76B58,"TISSUE SPECIFICITY: Strongly expressed in oral keratinocytes compared to the weak expression in tongue squamous cell carcinoma (SCC). Expressed in endothelial and aortic smooth muscle cells. Overexpressed in gonadotropinomas compared to normal pituitarie tissues. {ECO:0000269|PubMed:17138656, ECO:0000269|PubMed:18430236, ECO:0000269|PubMed:19787213}."
high_div,chr3,139900000,146900000,FUN_011715,,,,,
high_div,chr3,139900000,146900000,FUN_011716,,,,,
high_div,chr3,139900000,146900000,FUN_011717,,,,,
high_div,chr3,139900000,146900000,FUN_011718,,,,,
high_div,chr3,139900000,146900000,FUN_011719,,,,,
high_div,chr3,139900000,146900000,FUN_011720,RGS18,RGS18,Regulator of G-protein signaling 18 (RGS18),Q9NS28,"TISSUE SPECIFICITY: Expressed in peripheral leukocytes, bone marrow, platelet, spleen and fetal liver. {ECO:0000269|PubMed:11042171, ECO:0000269|PubMed:11955952}."
high_div,chr3,139900000,146900000,FUN_011721,RGS21,RGS21,Regulator of G-protein signaling 21 (RGS21),Q2M5E4,TISSUE SPECIFICITY: Expressed ubiquitously. {ECO:0000269|PubMed:16302027}.
high_div,chr3,139900000,146900000,FUN_011722,,,,,
high_div,chr3,139900000,146900000,FUN_011723,RGS1,RGS1,Regulator of G-protein signaling 1 (RGS1),Q9JL25,"TISSUE SPECIFICITY: Detected in spleen, lymph node and intestine. {ECO:0000269|PubMed:10779778}."
high_div,chr3,139900000,146900000,FUN_011724,RGS13,,Regulator of G-protein signaling 13 (RGS13),Q8K443,
high_div,chr3,139900000,146900000,FUN_011725,RGS2,RGS2,Regulator of G-protein signaling 2 (RGS2),Q0P5H5,
high_div,chr3,139900000,146900000,FUN_011726,UCHL5,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin thioesterase L5),Q06AT3,
high_div,chr3,139900000,146900000,FUN_011727,RO60,TROVE2,RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2),P10155,
high_div,chr3,139900000,146900000,FUN_011728,,,,,
high_div,chr3,139900000,146900000,FUN_011729,GLRX2,GLRX2,"Glutaredoxin-2, mitochondrial",Q923X4,"TISSUE SPECIFICITY: Widely expressed. Highly expressed in testis, and at much lower level in kidney and brain. {ECO:0000269|PubMed:12954614}."
high_div,chr3,139900000,146900000,FUN_011730,CDC73,CDC73,Parafibromin (Cell division cycle protein 73 homolog),Q5ZLM0,
high_div,chr3,139900000,146900000,FUN_011731,,,,,
high_div,chr3,139900000,146900000,FUN_011732,,,,,
high_div,chr3,139900000,146900000,FUN_011733,,,,,
high_div,chr3,139900000,146900000,FUN_011734,,,,,
high_div,chr3,139900000,146900000,FUN_011735,,,,,
high_div,chr3,139900000,146900000,FUN_011736,,,,,
high_div,chr3,139900000,146900000,FUN_011737,,,,,
high_div,chr3,139900000,146900000,FUN_011738,,,,,
high_div,chr3,139900000,146900000,FUN_011739,,,,,
high_div,chr3,139900000,146900000,FUN_011740,,,,,
high_div,chr3,139900000,146900000,FUN_30774,KCNT2,KCNT2,Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1),Q6UVM3,
high_div,chr3,139900000,146900000,FUN_011742,CFH,,Complement factor H (Protein beta-1-H),P06909,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011743,CFH,,Complement factor H (H factor 1),P08603,"TISSUE SPECIFICITY: Expressed in the retinal pigment epithelium (at protein level) (PubMed:25136834). CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells (PubMed:6444659, PubMed:2968404, PubMed:2139673, PubMed:25136834). {ECO:0000269|PubMed:2139673, ECO:0000269|PubMed:25136834, ECO:0000269|PubMed:2968404, ECO:0000269|PubMed:6444659}."
high_div,chr3,139900000,146900000,FUN_011744,CFH,,Complement factor H (Protein beta-1-H),P06909,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011745,CFH,,Complement factor H (H factor 1),Q28085,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011746,,,,,
high_div,chr3,139900000,146900000,FUN_011747,CFHR1,,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Q03591,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_011748,CFHR5,CFH,Complement factor H-related protein 5 (FHR-5),Q9BXR6,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_30775,,,,,
high_div,chr3,139900000,146900000,FUN_011749,,,,,
high_div,chr3,139900000,146900000,FUN_011750,CFHR1,,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Q03591,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_011751,CFH,,Complement factor H (H factor 1),Q28085,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011753,F13B,F13B,Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain),P05160,
high_div,chr3,139900000,146900000,FUN_011754,ASPM,ASPM,Abnormal spindle-like microcephaly-associated protein homolog,P62286,
high_div,chr3,139900000,146900000,FUN_011755,ZBTB41,ZBTB41,Zinc finger and BTB domain-containing protein 41,Q811F1,
high_div,chr3,139900000,146900000,FUN_011756,,,,,
high_div,chr3,139900000,146900000,FUN_011757,CRB1,,Protein crumbs homolog 1,P82279,"TISSUE SPECIFICITY: Preferential expression in retina, also expressed in brain, testis, fetal brain and fetal eye (PubMed:15914641). Expressed at the outer limiting membrane and apical to adherens junctions in the retina (PubMed:15914641). {ECO:0000269|PubMed:15914641}."
high_div,chr3,139900000,146900000,FUN_011758,,,,,
high_div,chr3,139900000,146900000,FUN_011760,DENND1B,DENND1B,DENN domain-containing protein 1B (Connecdenn 2) (Protein FAM31B),Q6P3S1,TISSUE SPECIFICITY: Highly expressed in dendritic and natural killer cells and at lower levels in other myeloid lineage cells and in pituitary. Significantly up-regulated in effector memory T-cells as compared with naive T-cells. {ECO:0000269|PubMed:20032318}.
high_div,chr3,139900000,146900000,FUN_011761,,,,,
high_div,chr3,139900000,146900000,FUN_011762,LHX9,LHX9,LIM/homeobox protein Lhx9 (LIM homeobox protein 9),Q90881,
high_div,chr3,139900000,146900000,FUN_011763,NEK7,NEK7,Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),Q9ES74,
high_div,chr3,139900000,146900000,FUN_011714,BRINP3,BRINP3,BMP/retinoic acid-inducible neural-specific protein 3 (DBCCR1-like protein 1),Q76B58,"TISSUE SPECIFICITY: Strongly expressed in oral keratinocytes compared to the weak expression in tongue squamous cell carcinoma (SCC). Expressed in endothelial and aortic smooth muscle cells. Overexpressed in gonadotropinomas compared to normal pituitarie tissues. {ECO:0000269|PubMed:17138656, ECO:0000269|PubMed:18430236, ECO:0000269|PubMed:19787213}."
high_div,chr3,139900000,146900000,FUN_011715,,,,,
high_div,chr3,139900000,146900000,FUN_011716,,,,,
high_div,chr3,139900000,146900000,FUN_011717,,,,,
high_div,chr3,139900000,146900000,FUN_011718,,,,,
high_div,chr3,139900000,146900000,FUN_011719,,,,,
high_div,chr3,139900000,146900000,FUN_011720,RGS18,RGS18,Regulator of G-protein signaling 18 (RGS18),Q9NS28,"TISSUE SPECIFICITY: Expressed in peripheral leukocytes, bone marrow, platelet, spleen and fetal liver. {ECO:0000269|PubMed:11042171, ECO:0000269|PubMed:11955952}."
high_div,chr3,139900000,146900000,FUN_011721,RGS21,RGS21,Regulator of G-protein signaling 21 (RGS21),Q2M5E4,TISSUE SPECIFICITY: Expressed ubiquitously. {ECO:0000269|PubMed:16302027}.
high_div,chr3,139900000,146900000,FUN_011722,,,,,
high_div,chr3,139900000,146900000,FUN_011723,RGS1,RGS1,Regulator of G-protein signaling 1 (RGS1),Q9JL25,"TISSUE SPECIFICITY: Detected in spleen, lymph node and intestine. {ECO:0000269|PubMed:10779778}."
high_div,chr3,139900000,146900000,FUN_011724,RGS13,,Regulator of G-protein signaling 13 (RGS13),Q8K443,
high_div,chr3,139900000,146900000,FUN_011725,RGS2,RGS2,Regulator of G-protein signaling 2 (RGS2),Q0P5H5,
high_div,chr3,139900000,146900000,FUN_011726,UCHL5,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin thioesterase L5),Q06AT3,
high_div,chr3,139900000,146900000,FUN_011727,RO60,TROVE2,RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2),P10155,
high_div,chr3,139900000,146900000,FUN_011728,,,,,
high_div,chr3,139900000,146900000,FUN_011729,GLRX2,GLRX2,"Glutaredoxin-2, mitochondrial",Q923X4,"TISSUE SPECIFICITY: Widely expressed. Highly expressed in testis, and at much lower level in kidney and brain. {ECO:0000269|PubMed:12954614}."
high_div,chr3,139900000,146900000,FUN_011730,CDC73,CDC73,Parafibromin (Cell division cycle protein 73 homolog),Q5ZLM0,
high_div,chr3,139900000,146900000,FUN_011731,,,,,
high_div,chr3,139900000,146900000,FUN_011732,,,,,
high_div,chr3,139900000,146900000,FUN_011733,,,,,
high_div,chr3,139900000,146900000,FUN_011734,,,,,
high_div,chr3,139900000,146900000,FUN_011735,,,,,
high_div,chr3,139900000,146900000,FUN_011736,,,,,
high_div,chr3,139900000,146900000,FUN_011737,,,,,
high_div,chr3,139900000,146900000,FUN_011738,,,,,
high_div,chr3,139900000,146900000,FUN_011739,,,,,
high_div,chr3,139900000,146900000,FUN_011740,,,,,
high_div,chr3,139900000,146900000,FUN_30774,KCNT2,KCNT2,Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1),Q6UVM3,
high_div,chr3,139900000,146900000,FUN_011742,CFH,,Complement factor H (Protein beta-1-H),P06909,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011743,CFH,,Complement factor H (H factor 1),P08603,"TISSUE SPECIFICITY: Expressed in the retinal pigment epithelium (at protein level) (PubMed:25136834). CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells (PubMed:6444659, PubMed:2968404, PubMed:2139673, PubMed:25136834). {ECO:0000269|PubMed:2139673, ECO:0000269|PubMed:25136834, ECO:0000269|PubMed:2968404, ECO:0000269|PubMed:6444659}."
high_div,chr3,139900000,146900000,FUN_011744,CFH,,Complement factor H (Protein beta-1-H),P06909,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011745,CFH,,Complement factor H (H factor 1),Q28085,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011746,,,,,
high_div,chr3,139900000,146900000,FUN_011747,CFHR1,,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Q03591,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_011748,CFHR5,CFH,Complement factor H-related protein 5 (FHR-5),Q9BXR6,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_30775,,,,,
high_div,chr3,139900000,146900000,FUN_011749,,,,,
high_div,chr3,139900000,146900000,FUN_011750,CFHR1,,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Q03591,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
high_div,chr3,139900000,146900000,FUN_011751,CFH,,Complement factor H (H factor 1),Q28085,"TISSUE SPECIFICITY: CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells. {ECO:0000250|UniProtKB:P08603}."
high_div,chr3,139900000,146900000,FUN_011753,F13B,F13B,Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain),P05160,
high_div,chr3,139900000,146900000,FUN_011754,ASPM,ASPM,Abnormal spindle-like microcephaly-associated protein homolog,P62286,
high_div,chr3,139900000,146900000,FUN_011755,ZBTB41,ZBTB41,Zinc finger and BTB domain-containing protein 41,Q811F1,
high_div,chr3,139900000,146900000,FUN_011756,,,,,
high_div,chr3,139900000,146900000,FUN_011757,CRB1,,Protein crumbs homolog 1,P82279,"TISSUE SPECIFICITY: Preferential expression in retina, also expressed in brain, testis, fetal brain and fetal eye (PubMed:15914641). Expressed at the outer limiting membrane and apical to adherens junctions in the retina (PubMed:15914641). {ECO:0000269|PubMed:15914641}."
high_div,chr3,139900000,146900000,FUN_011758,,,,,
high_div,chr3,139900000,146900000,FUN_011760,DENND1B,DENND1B,DENN domain-containing protein 1B (Connecdenn 2) (Protein FAM31B),Q6P3S1,TISSUE SPECIFICITY: Highly expressed in dendritic and natural killer cells and at lower levels in other myeloid lineage cells and in pituitary. Significantly up-regulated in effector memory T-cells as compared with naive T-cells. {ECO:0000269|PubMed:20032318}.
